"","MeanDecreaseAccuracy","MeanDecreaseGini"
"geo_level_1_id",0.145004516461369,18064.8045828149
"geo_level_2_id",0.0684942829965297,15618.358861394
"geo_level_3_id",0.0344981618037297,17338.2800822794
"height_percentage",0.0287725812941415,6513.35165071848
"has_superstructure_mud_mortar_stone",0.0279676421287129,1876.36298507704
"other_floor_type",0.0245646911831601,2438.60318710614
"count_floors_pre_eq",0.0240784442276681,2126.69828985044
"foundation_type",0.0231159090135516,3919.65324139553
"area_percentage",0.0203315091653141,12356.9526488689
"has_superstructure_timber",0.0180221130676555,1418.03240816815
"roof_type",0.0159867259293236,2424.8096980328
"ground_floor_type",0.0154330604027365,3027.53835518652
"age",0.014771117254252,12701.3974957644
"has_superstructure_cement_mortar_brick",0.0068202348707243,880.858673379969
"position",0.00632841772256171,2592.86181302384
"land_surface_condition",0.0058834520729015,2394.05720390804
"has_superstructure_bamboo",0.00545370004644585,846.508640931144
"has_superstructure_adobe_mud",0.00501245118941761,877.176905045105
"has_superstructure_mud_mortar_brick",0.00439768589334454,729.347905599014
"has_secondary_use",0.0034079366471999,1034.73911321044
"has_superstructure_stone_flag",0.00337347418191498,608.911196289517
"has_superstructure_rc_non_engineered",0.00213979795478291,509.707855115051
"has_secondary_use_agriculture",0.00207551334645187,712.148731863062
"count_families",0.00189943498976737,3022.5831794897
"legal_ownership_status",0.00143411030217026,928.372031066842
"plan_configuration",0.00116345885291025,1171.00156484671
"has_superstructure_rc_engineered",0.000925811203299478,201.187029841394
"has_superstructure_other",0.000705226658845065,417.669859466063
"has_superstructure_cement_mortar_stone",0.000573355883041992,384.266731410479
"has_secondary_use_hotel",0.000420511214001403,452.468556405742
"has_secondary_use_other",0.000222792310195129,139.192688342425
"has_secondary_use_rental",1.77709680009594e-05,158.978637218387
"has_secondary_use_use_police",2.12495967041473e-10,4.0750837690453
"has_secondary_use_health_post",-7.7385473570002e-08,4.71739498592554
"has_secondary_use_gov_office",-3.09655901478104e-07,3.62859151763685
"has_secondary_use_school",-2.39363772722842e-06,10.8721014197755
"has_secondary_use_industry",-2.66883986780353e-06,41.1313105237381
"has_secondary_use_institution",-3.31932629265219e-06,27.9557371471135
